λabs (nm),smiles
705.0,Brc1ccc(C2=CC(c3ccc(OC)cc3)=[N+]3C2=Nc2c(-c4ccc(Br)cc4)cc(-c4ccc(OC)cc4)n2[B-]3(C#CC[N+](Cc2ccc(C(NCCNC(CN3CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC3)=O)=O)cc2)(C)C)C#CC[N+](C)(C)Cc2ccc(C(NCCNC(CN3CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC3)=O)=O)cc2)cc1
705.0,Brc1ccc(C2=CC(c3ccc(OC)cc3)=[N+]3C2=Nc2c(-c4ccc(Br)cc4)cc(-c4ccc(OC)cc4)n2[B-]3(C#CC[N+](Cc2ccc(C(NCCNC(CN3CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC3)=O)=O)cc2)(C)C)C#CC[N+](C)(C)Cc2ccc(C(NCCNC(CN3CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC3)=O)=O)cc2)cc1
677.0,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c(/C=C/c4ccc(O)cc4)n3[B-](F)(F)[N+]2=C1/C=C/c1ccc(O)cc1
754.0,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c(/C=C/c4ccc(N(C)C)cc4)n3[B-](F)(F)[N+]2=C1/C=C/c1ccc(N(C)C)cc1
723.0,F[B-]1(F)[N+]2=c3cc(-c4ccc(OC)cc4)oc3=CC2=C(C(F)(F)F)c2n1c1c(c2)oc(-c2ccc(OC)cc2)c1
722.0,F[B-]1(F)[N+]2=c3cc(-c4ccc(OC)cc4)oc3=CC2=C(C(F)(F)F)c2n1c1c(c2)oc(-c2ccc(OC)cc2)c1
731.0,F[B-]1(F)[N+]2=c3cc(-c4ccc(OC)cc4)sc3=CC2=C(C(F)(F)F)c2n1c1c(c2)sc(-c2ccc(OC)cc2)c1
730.0,F[B-]1(F)[N+]2=c3cc(-c4ccc(OC)cc4)sc3=CC2=C(C(F)(F)F)c2n1c1c(c2)sc(-c2ccc(OC)cc2)c1
738.0,F[B-]1(F)[N+]2=c3c(Br)c(-c4ccc(OC)cc4)oc3=CC2=C(C(F)(F)F)c2n1c1c(c2)oc(-c2ccc(OC)cc2)c1Br
732.0,F[B-]1(F)[N+]2=c3c(Br)c(-c4ccc(OC)cc4)oc3=CC2=C(C(F)(F)F)c2n1c1c(c2)oc(-c2ccc(OC)cc2)c1Br
720.0,F[B-]1(F)[N+]2=c3c(Br)c(-c4ccc(OC)cc4)sc3=CC2=C(C(F)(F)F)c2n1c1c(c2)sc(-c2ccc(OC)cc2)c1Br
717.0,F[B-]1(F)[N+]2=c3c(Br)c(-c4ccc(OC)cc4)sc3=CC2=C(C(F)(F)F)c2n1c1c(c2)sc(-c2ccc(OC)cc2)c1Br
746.0,F[B-]1(F)[N+]2=c3c(Br)c(-c4ccc(OC)cc4)oc3=C(Br)C2=C(C(F)(F)F)c2n1c1c(c2Br)oc(-c2ccc(OC)cc2)c1Br
741.0,F[B-]1(F)[N+]2=c3c(Br)c(-c4ccc(OC)cc4)oc3=C(Br)C2=C(C(F)(F)F)c2n1c1c(c2Br)oc(-c2ccc(OC)cc2)c1Br
766.0,F[B-]1(F)[N+]2=c3c(Br)c(-c4ccc(OC)cc4)sc3=C(Br)C2=C(C(F)(F)F)c2n1c1c(c2Br)sc(-c2ccc(OC)cc2)c1Br
764.0,F[B-]1(F)[N+]2=c3c(Br)c(-c4ccc(OC)cc4)sc3=C(Br)C2=C(C(F)(F)F)c2n1c1c(c2Br)sc(-c2ccc(OC)cc2)c1Br
686.0,F[B-]1(F)[N+]2=C(/C=C/c3ccccc3)C=C(c3ccccc3)C2=Nc2n1c(-c1ccccc1)cc2-c1ccccc1
704.0,F[B-]1(F)[N+]2=C(/C=C/c3ccc(OC)cc3)C=C(c3ccccc3)C2=Nc2n1c(-c1ccccc1)cc2-c1ccccc1
731.0,F[B-]1(F)[N+]2=C(/C=C/c3ccccc3)C=C(c3ccccc3)C2=Nc2n1c1c(c2-c2ccccc2)CCc2c-1ccc(OC)c2
746.0,F[B-]1(F)[N+]2=C(/C=C/c3ccc(OC)cc3)C=C(c3ccccc3)C2=Nc2n1c1c(c2-c2ccccc2)CCc2c-1ccc(OC)c2
708.0,F[B-]1(F)[N+]2=C(c3ccc(OC)cc3)C=C(c3ccccc3)C2=Nc2n1c1c(c2-c2ccccc2)CCc2c-1ccc(OC)c2
746.0,F[B-]1(F)[N+]2=C3c4cc5ccc6c7c5c(ccc7ccc6)c4CCC3=C(c3ccccc3)C2=Nc2n1c1c(c2-c2ccccc2)CCc2c-1cc1ccc3c4c(ccc2c41)ccc3
761.0,F[B-]1(F)[N+]2=C(c3ccccc3)c3cc4ccccc4cc3C2=Cc2n1c(-c1ccccc1)c1c2cc2ccccc2c1
765.0,F[B-]1(F)[N+]2=C(c3ccccc3)c3cc4ccccc4cc3C2=Cc2n1c(-c1ccccc1)c1c2cc2ccccc2c1
762.0,F[B-]1(F)[N+]2=C(c3ccccc3)c3cc4ccccc4cc3C2=Cc2n1c(-c1ccccc1)c1c2cc2ccccc2c1
764.0,F[B-]1(F)[N+]2=C(c3ccccc3)c3cc4ccccc4cc3C2=Cc2n1c(-c1ccccc1)c1c2cc2ccccc2c1
738.0,F[B-]1(F)[N+]2=C(c3ccccc3OC)c3cc4ccccc4cc3C2=Cc2n1c(-c1c(OC)cccc1)c1c2cc2ccccc2c1
830.0,c12c3cc4ccccc4cc3c3n1[B-]1(Oc4c-3cccc4)Oc3c(cccc3)C3=[N+]1C(=C2)c1c3cc2ccccc2c1
688.0,F[B-]1(F)[N+]2=C(c3ccc(OC)cc3)C=C(c3ccc(F)cc3)C2=Nc2n1c(-c1ccc(OC)cc1)cc2-c1ccc(F)cc1
710.0,F[B-]1(F)[N+]2=C(c3ccc(OC)cc3)C=C(c3ccc(N=[N+]=[N-])cc3)C2=Nc2n1c(-c1ccc(OC)cc1)cc2-c1ccc(N=[N+]=[N-])cc1
699.0,F[B-]1(F)[N+]2=C(c3ccc(OC)cc3)C=C(c3ccc(F)cc3)C2=Nc2n1c(-c1ccc(OC)cc1)cc2-c1ccc(N)cc1
688.0,F[B-]1(F)[N+]2=C(c3ccc(OC)cc3)C=C(c3ccccc3)C2=Nc2n1c(-c1ccc(OC)cc1)cc2-c1ccc(F)cc1
688.0,F[B-]1(F)[N+]2=C(c3ccc(OC)cc3)C=C(c3ccccc3)C2=Nc2n1c(-c1ccc(OC)cc1)cc2-c1ccccc1
688.0,F[B-]1(F)n2c(cc3c2cc(-c2ccc(Br)s2)s3)C(c2ccc(C(OC)=O)cc2)=C2[N+]1=c1cc(-c3ccc(Br)s3)sc1=C2Br
698.0,F[B-]1(F)n2c(cc3c2cc(-c2ccc(Br)s2)s3)C(c2ccc(C(OC)=O)cc2)=C2[N+]1=c1cc(-c3ccc(Br)s3)sc1=C2Br
673.0,F[B-]1(F)n2c(cc3c2cc(-c2cccs2)s3)C(c2ccc(C(OC)=O)cc2)=C2[N+]1=c1cc(-c3cccs3)sc1=C2
679.0,F[B-]1(F)n2c(cc3c2cc(-c2cccs2)s3)C(c2ccc(C(OC)=O)cc2)=C2[N+]1=c1cc(-c3cccs3)sc1=C2
