label,solvent
703.0,CS(C)=O
696.0,C1CCCO1
694.0,C1CCCO1
698.0,C1CCCO1
630.0,CC#N
515.0,CS(C)=O
512.0,CS(C)=O
569.0,CS(C)=O
604.0,CS(C)=O
520.0,O
548.0,CO
539.0,C1CCCO1
512.0,ClCCl
533.0,ClCCl
557.0,ClCCl
567.0,ClCCl
556.0,ClCCl
578.0,ClCCl
547.0,ClCCl
529.0,ClCCl
590.0,ClCCl
518.0,ClCCl
543.0,ClCCl
581.0,ClCCl
568.0,ClCCl
634.0,ClC(Cl)Cl
500.0,CCCCCC
502.0,CC1=CC=CC=C1
498.0,CCC(OCC)=O
500.0,C1CCCO1
500.0,ClCCl
496.0,CO
496.0,CC#N
532.0,CCCCCC
536.0,CC1=CC=CC=C1
530.0,CCC(OCC)=O
532.0,C1CCCO1
532.0,ClCCl
529.0,CO
528.0,CC#N
536.0,CS(C)=O
565.0,ClCCl
523.0,ClCCl
524.0,ClCCl
536.0,ClCCl
527.0,ClCCl
537.0,ClCCl
522.0,ClCCl
532.0,ClCCl
529.0,ClCCl
505.0,ClCCl
505.0,ClCCl
505.0,ClCCl
505.0,ClCCl
505.0,ClCCl
505.0,ClCCl
505.0,ClCCl
553.0,ClCCl
505.0,ClCCl
505.0,ClCCl
666.0,CO
666.0,CO
745.0,CO
546.0,O
548.0,O
550.0,O
611.0,O
552.0,O
606.0,O
680.0,O
582.0,O
609.0,O
617.0,O
561.0,O
571.0,O
618.0,O
585.0,O
634.0,O
646.0,O
674.0,O
691.0,O
721.0,O
731.0,CO
650.0,O
643.0,O
646.0,O
641.0,O
657.0,O
660.0,CO
779.0,CO
670.0,O
635.0,O
669.0,O
695.0,O
668.0,O
667.0,O
667.0,O
683.0,O
662.0,O
712.0,O
650.0,O
650.0,O
652.0,O
648.0,O
651.0,O
651.0,O
656.0,O
641.0,O
632.0,O
649.0,O
637.0,O
663.0,O
621.0,O
635.0,O
634.0,O
614.0,O
492.0,O
666.0,O
700.0,O
744.0,O
571.0,CO
594.0,CO
579.0,CO
587.0,CO
641.0,CO
581.0,CO
604.0,CO
590.0,CO
597.0,CO
658.0,CO
700.0,CO
600.0,O
597.0,CO
617.0,CO
607.0,CO
610.0,CO
670.0,CO
675.0,CO
617.0,CO
606.0,CO
639.0,CC#N
554.0,CO
560.0,CCO
497.5,O
595.5,ClC(Cl)Cl
549.0,CS(C)=O
568.5,CO
557.0,CCO
607.5,ClC(Cl)Cl
561.0,CC(C)=O
558.0,CS(C)=O
557.0,CO
510.0,O
595.0,ClC(Cl)Cl
554.0,CC(C)=O
563.0,CS(C)=O
563.0,CO
574.0,CCO
607.0,ClC(Cl)Cl
559.0,CC(C)=O
553.0,CS(C)=O
